guid,sentence,subject_entity,object_entity,label,source,subject,object,subject_type,object_type,type_pair,input_text,pred_label,gold_label_name,pred_label_name,confidence,correct
klue-re-v1_dev_03087,함평군청소년상담복지센터·꿈드림에서 지난 12월 26일 제4차 실행위원회를 진행했다.,"{'word': '꿈드림', 'start_idx': 13, 'end_idx': 15, 'type': 'ORG'}","{'word': '함평군청소년상담복지센터', 'start_idx': 0, 'end_idx': 11, 'type': 'ORG'}",4,wikitree,꿈드림,함평군청소년상담복지센터,ORG,ORG,ORG-ORG,# ^ organization ^ 함평군청소년상담복지센터 #·@ * organization * 꿈드림 @에서 지난 12월 26일 제4차 실행위원회를 진행했다. [SEP] 꿈드림과 함평군청소년상담복지센터의 관계는 무엇입니까?,0,org:alternate_names,no_relation,0.99995124,False
klue-re-v1_dev_05898,"인천에서 출생하였으며 지난날 한때 경기도 시흥에서 잠시 유아기를 보낸 적이 있는 그녀는 훗날 2012년부터 2014년까지 일본에서 퓨리티의 멤버로 활동하였으나, 대한민국에서는 데뷔도 못한 채, 2년 만에 팀이 해체되었다.","{'word': '퓨리티', 'start_idx': 73, 'end_idx': 75, 'type': 'PER'}","{'word': '2014년', 'start_idx': 60, 'end_idx': 64, 'type': 'DAT'}",1,wikipedia,퓨리티,2014년,PER,DAT,PER-DAT,"인천에서 출생하였으며 지난날 한때 경기도 시흥에서 잠시 유아기를 보낸 적이 있는 그녀는 훗날 2012년부터 # ^ date ^ 2014년 #까지 일본에서 @ * person * 퓨리티 @의 멤버로 활동하였으나, 대한민국에서는 데뷔도 못한 채, 2년 만에 팀이 해체되었다. [SEP] 퓨리티과 2014년의 관계는 무엇입니까?",0,org:dissolved,no_relation,0.99994373,False
klue-re-v1_dev_05342,"또, 루벤스는 안트베르펜에 있는 도미니칸 교회에서 ""로자리오의 마돈나(Kunsthistorisches 박물관, 베니스)""를 구입하는 것을 돕기도 했다.","{'word': '루벤스', 'start_idx': 3, 'end_idx': 5, 'type': 'PER'}","{'word': '안트베르펜', 'start_idx': 8, 'end_idx': 12, 'type': 'LOC'}",17,wikipedia,루벤스,안트베르펜,PER,LOC,PER-LOC,"또, @ * person * 루벤스 @는 # ^ location ^ 안트베르펜 #에 있는 도미니칸 교회에서 ""로자리오의 마돈나(Kunsthistorisches 박물관, 베니스)""를 구입하는 것을 돕기도 했다. [SEP] 루벤스과 안트베르펜의 관계는 무엇입니까?",0,per:origin,no_relation,0.9999281,False
klue-re-v1_dev_07561,"사태가 급박해지자, 창의사 김천일이 군사 3백 명을 거느리고 진주로 왔고, 충청병사 황진이 7백 명, 경상우병사 최경회가 5백 명을, 의병 복수장 고종후가 4백 명, 부장 장윤이 3백 명, 의병장 이계련이 1백 명, 의병장 변사정의 부장이 3백 명, 의병장 민여운이 2백여 명을 거느리고 와서 초유사 김성일, 목사 서예원과 김준민, 이종인 등과 수성을 논의했다.","{'word': '황진', 'start_idx': 47, 'end_idx': 48, 'type': 'PER'}","{'word': '경상우병사', 'start_idx': 57, 'end_idx': 61, 'type': 'POH'}",26,wikipedia,황진,경상우병사,PER,POH,PER-POH,"사태가 급박해지자, 창의사 김천일이 군사 3백 명을 거느리고 진주로 왔고, 충청병사 @ * person * 황진 @이 7백 명, # ^ other ^ 경상우병사 # 최경회가 5백 명을, 의병 복수장 고종후가 4백 명, 부장 장윤이 3백 명, 의병장 이계련이 1백 명, 의병장 변사정의 부장이 3백 명, 의병장 민여운이 2백여 명을 거느리고 와서 초유사 김성일, 목사 서예원과 김준민, 이종인 등과 수성을 논의했다. [SEP] 황진과 경상우병사의 관계는 무엇입니까?",0,per:colleagues,no_relation,0.99991333,False
klue-re-v1_dev_01430,"월간(月刊)중앙 WIN 기자, 월간(月刊)중앙 WIN 기획위원 등으로 활동하였고, 조선일보, 경향신문, 한겨레신문 등의 객원필진으로 칼럼을 기고하였다.","{'word': '조선일보', 'start_idx': 46, 'end_idx': 49, 'type': 'ORG'}","{'word': '기자', 'start_idx': 13, 'end_idx': 14, 'type': 'POH'}",10,wikipedia,조선일보,기자,ORG,POH,ORG-POH,"월간(月刊)중앙 WIN # ^ other ^ 기자 #, 월간(月刊)중앙 WIN 기획위원 등으로 활동하였고, @ * organization * 조선일보 @, 경향신문, 한겨레신문 등의 객원필진으로 칼럼을 기고하였다. [SEP] 조선일보과 기자의 관계는 무엇입니까?",0,org:top_members/employees,no_relation,0.99991226,False
klue-re-v1_dev_05102,"이 강사는 녹색연합 기후에너지국장, 에너지기후정책연구소 연구기획위원을 역임하고, 현재 에너지전환포럼 이사, 환경부 중앙환경정책위원회 위원 등으로 활동하고 있다.","{'word': '에너지기후정책연구소', 'start_idx': 20, 'end_idx': 29, 'type': 'ORG'}","{'word': '이사', 'start_idx': 56, 'end_idx': 57, 'type': 'POH'}",10,wikitree,에너지기후정책연구소,이사,ORG,POH,ORG-POH,"이 강사는 녹색연합 기후에너지국장, @ * organization * 에너지기후정책연구소 @ 연구기획위원을 역임하고, 현재 에너지전환포럼 # ^ other ^ 이사 #, 환경부 중앙환경정책위원회 위원 등으로 활동하고 있다. [SEP] 에너지기후정책연구소과 이사의 관계는 무엇입니까?",0,org:top_members/employees,no_relation,0.9999037,False
klue-re-v1_dev_04163,"전공은 계량정치학·정치과정론. 와세다 대학 정치경제학술원 교수, 오하이오 주립 대학교 정치학 박사이다.","{'word': '오하이오 주립 대학교', 'start_idx': 36, 'end_idx': 46, 'type': 'ORG'}","{'word': '교수', 'start_idx': 32, 'end_idx': 33, 'type': 'POH'}",10,wikipedia,오하이오 주립 대학교,교수,ORG,POH,ORG-POH,"전공은 계량정치학·정치과정론. 와세다 대학 정치경제학술원 # ^ other ^ 교수 #, @ * organization * 오하이오 주립 대학교 @ 정치학 박사이다. [SEP] 오하이오 주립 대학교과 교수의 관계는 무엇입니까?",0,org:top_members/employees,no_relation,0.9998995,False
klue-re-v1_dev_04935,"위청은 공적으로 인해 3,800호를 받아 장평후에 봉해졌고, 휘하 교위인 소건과 장차공도 공적으로 인해 각각 평릉후·안두후에 봉해졌다.","{'word': '위청', 'start_idx': 0, 'end_idx': 1, 'type': 'PER'}","{'word': '평릉후', 'start_idx': 61, 'end_idx': 63, 'type': 'POH'}",29,wikipedia,위청,평릉후,PER,POH,PER-POH,"@ * person * 위청 @은 공적으로 인해 3,800호를 받아 장평후에 봉해졌고, 휘하 교위인 소건과 장차공도 공적으로 인해 각각 # ^ other ^ 평릉후 #·안두후에 봉해졌다. [SEP] 위청과 평릉후의 관계는 무엇입니까?",0,per:title,no_relation,0.9998901,False
klue-re-v1_dev_02382,"히틀러유겐트 사단이 캐나다군 선봉 부대 일부를 압박해 3킬로미터 이상 후퇴시켰지만, 노스 노바스코샤 하이랜더 연대 잔존병들은 제25 SS 기갑척탄병 연대를 저지하고 견고한 방어선을 구축했다.","{'word': '캐나다군', 'start_idx': 11, 'end_idx': 14, 'type': 'ORG'}","{'word': '노스 노바스코샤 하이랜더 연대', 'start_idx': 47, 'end_idx': 62, 'type': 'ORG'}",6,wikipedia,캐나다군,노스 노바스코샤 하이랜더 연대,ORG,ORG,ORG-ORG,"히틀러유겐트 사단이 @ * organization * 캐나다군 @ 선봉 부대 일부를 압박해 3킬로미터 이상 후퇴시켰지만, # ^ organization ^ 노스 노바스코샤 하이랜더 연대 # 잔존병들은 제25 SS 기갑척탄병 연대를 저지하고 견고한 방어선을 구축했다. [SEP] 캐나다군과 노스 노바스코샤 하이랜더 연대의 관계는 무엇입니까?",0,org:members,no_relation,0.9998871,False
klue-re-v1_dev_01818,어려운 여건임에도 북구는 지난해 특별교부세 4억원을 들여 주거 취약계층 131세대를 대상으로 ‘행복둥지 사랑의 집수리’ 사업을 추진했으며 올해도 구비 1억원으로 55세대에게 집수리 서비스를 제공하는 한편 LH 한국주택토지공사와 함께 9억원의 사업비를 투입해 총 196세대의 자가 가구 수급자에 대한 수선유지 사업을 실시했다.,"{'word': '북구', 'start_idx': 10, 'end_idx': 11, 'type': 'ORG'}","{'word': '55세대', 'start_idx': 90, 'end_idx': 93, 'type': 'NOH'}",10,wikitree,북구,55세대,ORG,NOH,ORG-NOH,어려운 여건임에도 @ * organization * 북구 @는 지난해 특별교부세 4억원을 들여 주거 취약계층 131세대를 대상으로 ‘행복둥지 사랑의 집수리’ 사업을 추진했으며 올해도 구비 1억원으로 # ^ number ^ 55세대 #에게 집수리 서비스를 제공하는 한편 LH 한국주택토지공사와 함께 9억원의 사업비를 투입해 총 196세대의 자가 가구 수급자에 대한 수선유지 사업을 실시했다. [SEP] 북구과 55세대의 관계는 무엇입니까?,0,org:top_members/employees,no_relation,0.99987674,False
